特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
海上土木の大手。フィリピン、ケニアに強み。任天堂創業家資産運用会社（ＹＦＯ）が大株主,国内土木51(7)、国内建築34(5)、海外建設15(5)、不動産0(35)、他0(21)【海外】15(2024.3),1395,1730,43.3,8240000
準大手ゼネコン、海上土木（マリコン）で首位。国内建築ほか、海外の大型案件に実績豊富,国内土木43(10)、国内建築31(3)、海外建設24(-3)、他2(4)【海外】24(2024.3),3403,3976,41.4,8890000
道路大手。舗装以外に土木工事も３割程度手掛ける。親会社の大林組がＴＯＢ、上場廃止へ,建設86(10)、製造・販売他14(17)(2017.3),1054,1111,41.9,7790000
近畿北部地盤の総合建設。土木で創業。道路舗装含め官公需に強み。民間建築部門拡充。好財務,建設98(7)、製造・販売等2(7)(2023.12),171,179,46.5,5700000
東急系の道路舗装大手。環境対応や景観など技術多彩。関東中心に東日本が地盤。舗装材外販も,建設80(8)、舗装資材製造販売20(6)、他0(18)(2024.3),995,1149,40.5,7840000
新潟最大規模のゼネコン。県内土木主体から首都圏建築・開発へ展開。西日本でも事業拡大図る,建設98(3)、不動産1(14)、他0(7)(2023.12),861,2237,44.4,6860000
空調、給水など設備工事中堅。中国、米国ハワイ、ベトナム、シンガポールなど海外に展開,設備工事96、他4【海外】26(2024.3),580,792,42.1,6850000
建設基礎工事の大手。テノコラム工法等独自の３工法武器に、公共関連から民間建築関連を開拓,建設98(3)、土木建築コンサルティング全般等2(2)、他0(29)(2024.3),214,366,43.6,7450000
戸建て住宅分譲が主力の住宅メーカー。ＴＯＢで長谷工グループ傘下に。３月２７日上場廃止へ,建設35(2)、不動産65(-1)(2019.3),221,221,43.7,5150000
防災設備大手。消防自動車も製造。資本提携戦略で総合防災体制整備。筆頭株主にＡＬＳＯＫ,防災設備63、メンテナンス16、商品21【海外】14(2024.3),781,1150,40.9,6500000
注文住宅の国内大手。利益柱の米国事業は戸建て分譲と集合住宅開発を展開。持分適用に熊谷組,木材建材12(5)、住宅・建築31(6)、海外住宅・不動産55(12)、資源環境1(2)、他1(8)【海外】57(2023.12),5353,24815,44.0,9140000
地盤改良など基礎工事の専業大手。独自工法武器に民間分野の拡大図る。直営施工体制を強化,法面保護工事12、ダム基礎工事5、アンカー工事13、重機工事38、注入工事16、維持修繕工事1、環境保全工事2、他13【海外】12(2024.3),348,383,44.1,7080000
プレハブ建築、立体駐車場の総合メーカー。事業用施設プレハブ中心に多角化。１０月持株会社化,システム建築56(11)、総合建設22(4)、立体駐車場17(8)、開発4(12)、ファシリティマネジメント1(-18)(2018.3),563,1274,43.0,5530000
木質プレハブ中堅。国内ファンド支援経てヤマダ電機の傘下入り。スマートハウス相乗効果狙う,住宅70(0)、リフォーム28(-4)、不動産賃貸1(49)、他0(62)(2018.2),1056,1244,43.5,4550000
体育館など大空間構造建築の先駆。文教関係強い。電力鉄塔にも実績。不動産賃貸が安定収益源,鉄構建設93(6)、不動産7(52)(2024.3),404,534,41.3,6590000
軽量鉄骨プレハブ主力の住宅会社。パナソニックが完全子会社化し、９月２７日に上場廃止,新築請負58、街づくり17、ストック23、海外2(2017.3),4136,6522,42.7,6750000
賃貸住宅、商業施設、物流など事業施設の３本柱。戸建てや内外の都市開発も。配当性向３５％超,戸建18(4)、賃貸24(9)、マンション8(8)、商業23(12)、事業24(10)、環境エネルギー2(7)、他1(4)【海外】13(2024.3),16425,50236,40.4,9640000
東北発祥。法面・地盤改良など特殊土木に強い。技術力に定評。好財務。配当性向３５％方針,建設100(10)、他0(2)【海外】9(2024.3),995,1399,44.0,9190000
ハウスメーカーの雄。戸建てから賃貸住宅、マンション等に展開。国内外で不動産開発も,戸建・賃貸住宅他40(10)、リフォーム・賃貸住宅管理26(9)、仲介不動産マンション都市再開発17(12)、国際16(10)、他0(0)【海外】17(2024.1),---,29314,43.8,8590000
基礎、地盤改良、法面など特殊土木大手。環境、防災工事に強み。麻生グループの傘下。好財務,建設100(2024.3),1035,1142,45.1,8010000
電気工事会社。北陸電力の子会社。北陸電向け売上高３割強。地盤の北陸から徐々に全国展開,内線・空調管工事63、配電線工事24、他工事10、兼業事業3(2024.3),1189,1375,40.0,5690000
近畿地盤・通信工事中堅。ＮＴＴ西、日本ＩＢＭと親密。協和エクシオへ統合、９月２６日上場廃止,通信設備エンジニアリング41(6)、ＩＣＴソリューション59(4)(2018.3),465,909,46.0,5510000
電気通信工事業者。九州地盤。ＮＴＴ関連工事主体、コムシスＨＤへ統合、９月２６日上場廃止,情報電気通信66(13)、総合設備22(-6)、他12(-1)(2018.3),587,919,42.3,5520000
東北電力系列の総合電気工事会社、売上高依存度４割超。風力・太陽光に実績。首都圏でも展開,設備工事99(4)、他1(4)(2024.3),3900,5987,41.9,7110000
中堅の電気通信工事業者。東北で最大手。１０月にミライトＨＤと経営統合、９月２６日上場廃止,電気通信工事100(2018.3),648,1041,44.4,5700000
電気通信工事業者。ＮＴＴ工事主体、九州で最大手。協和エクシオへ統合、９月２６日上場廃止,情報通信工事73(12)、ソリューション13(5)、設備・環境7(9)、他7(9)(2018.3),956,1289,43.1,5810000
総合電気設備工事。０９年に千電工と保安工業が合併、ＪＲ東日本依存大。電力向け等も展開,電気設備工事94(11)、兼業5(7)、不動産賃貸1(45)(2024.3),1147,1557,42.4,6540000
四国電力系で売上比率５割未満。電気、空調工事主力。四国外の市場開拓やメガソーラー事業も,設備工事94(6)、リース2(10)、太陽光発電2(36)、他2(14)(2024.3),2195,2689,40.6,6980000
中国電力系の電気工事会社で依存度約３割。総資産の約４割を投資有価証券で運用、社債多い,設備工事89(6)、他11(3)(2024.3),3434,4604,39.9,7400000
東京電力系で電気設備工事最大手級。一般向け拡大し東電向け比率３割弱。太陽光発電事業も,設備工事98(7)、他2(4)(2024.3),7957,10675,42.3,8180000
関電系で電設工事首位級。関電依存約２０％。全国の通信工事など展開。外注先への技術教育徹底,【単独事業】配電工事13、一般電気工事67、情報通信工事9、環境関連工事7、電力その他工事4【海外】1(2024.3),8593,13889,41.7,8480000
火力・原子力発電所主体のメンテ、建設工事。東電関連の受注がメイン。再生可能エネルギー展開,設備工事94(12)、他6(-1)(2024.3),1335,1605,46.8,7830000
電気工事業の大手。中部電力の持分会社で売上高依存度４割。太陽光発電等一般得意先向け強化,設備工事93(8)、エネルギー5(30)、他2(6)(2024.3),5021,6503,41.7,7070000
三菱電機系の設備工事業者。三菱電機依存度は約３割。重電・電子機器の商品販売部門も併営,電気設備工事74(10)、商品販売26(5)(2024.3),614,690,45.4,6800000
住友電工系。ビル、工場の内線工事が主体。電力、情報通信、プラント・空調工事も展開。海外熱心,設備工事96(7)、他4(3)【海外】15(2024.3),1821,3607,44.2,8610000
ＪＲ東日本中心に鉄道電気工事トップ。電気工事総合化を志向。情報通信も全国規模で営業展開,鉄道電気工事56、一般電気工事27、情報通信工事14、他2(2024.3),2616,4760,42.6,8110000
ＮＴＴ工事など電気通信工事大手。インフラ工事やＩＴ関連を開拓中。海外Ｍ＆Ａにも積極的,通信キャリア41(7)、都市インフラ29(6)、システムソリューション30(3)(2024.3),3819,17458,44.2,7450000
三井系の空調設備工事会社。原子力空調も手がける。微粒子可視化システムなど独自技術も展開,一般空調工事94、原子力施設空調工事6【海外】9(2024.3),1211,1716,43.8,9550000
総合建設コンサル首位。海外に強み、英建築設計を傘下に。電力関連強み。２３年夏持株会社移行,コンサルティング68(10)、都市空間17(7)、エネルギー14(7)、他1(-179)【海外】41(2022.6),2615,6219,42.6,7650000
中部地盤のＮＴＴ電話工事業者大手。同業最大手コムシスと１０月経営統合。９月２６日上場廃止へ,総合エンジニアリング74(4)、ＩＣＴソリューション24(6)、住宅不動産2(4)(2018.3),1136,2909,42.9,5720000
九州本拠に首都圏にも展開。九州電力系だが九電向けの依存度は１割強、東南アジアにも展開,設備工事96(8)、他4(15)(2024.3),6695,10883,39.0,7000000
独立系電気工事の大手。電力、民間、公共の各分野に展開。東南アジア中心に海外工事にも意欲,内線工事73、電力工事17、空調給排水工事10、機器製作1【海外】38(2024.3),795,1415,43.2,6080000
設備工事大手。三井系。プラント設備含め総合エンジニアリング展開。自動車、ＩＴ関連に強み,建築設備82(7)、機械システム5(-9)、環境システム12(4)、不動産1(35)、他0(-1)(2024.3),2122,2677,42.3,8780000
総合エンジ国内首位。海外でＬＮＧや発電等プラントを手がける。再エネや水素関連にも注力,総合エンジニアリング93(-3)、機能材製造6(14)、他1(18)【海外】73(2024.3),236,8851,44.8,10830000
工業炉トップ。鉄鋼や各種産業用の熱処理設備強固。ディスプレー等の情報通信と環境分野展開,熱処理45(4)、プラント38(6)、開発6(-6)、他11(3)【海外】17(2024.3),453,740,43.6,8650000
空調工事中堅。三菱重工の冷熱機器販売併営。医薬品工場向け注力。東南アジアへの展開加速,産業設備工事63、一般ビル設備工事32、電気設備工事3、冷熱機器販売1、他0【海外】2(2024.3),814,945,44.8,8090000
鉄鋼・化学関連の中堅プラント工事会社。石油、電力、エレクトロニクスなど幅広い。メンテ拡大,プラント100【海外】11(2024.3),1321,1602,40.7,5580000
空調・衛生等の管工事主力。水質保全技術、配管の工場生産化に独自性。群馬など関東に営業基盤,建築・土木5、空調・衛生63、電気・通信15、水処理プラント12、冷凍・冷蔵4、商業施設運営1(2024.3),794,1127,43.8,6030000
発電所主体のプラント工事会社。関西、中部の原発に強い。エンジニアリング会社へ脱皮模索中,建設工事36(3)、補修工事64(15)【海外】7(2024.3),1566,1930,42.6,7610000
空調工事の最大手。環境ソリューション企業を志向。中国やタイ、ベトナムなどアジア展開強化,設備工事98(7)、設備機器の製造・販売2(5)、他0(57)【海外】16(2024.3),2326,5825,42.2,10280000
建設仮設機材の中堅メーカー。旭化成ホームズの完全子会社化で２４年４月に上場廃止予定,【単独事業】仮設機材販売11(-4)、仮設機材賃貸19(-1)、住宅鉄骨70(3)(2023.3),89,---,47.3,5670000
日本製鉄系の金属屋根大手。官公需強く長尺屋根首位。緑化屋根深耕。プレハブ向け住宅部材も,【単独事業】屋根92(9)、建材8(3)、他0(67)(2024.3),520,---,43.0,7850000
ＮＥＣの工事部門が独立。キャリア向け工事やＤＸコンサル手がける。親会社ＮＥＣがＴＯＢ,ＤＸソリューション36(12)、ネットワークソリューション23(11)、社会・環境ソリューション38(9)、他3(3)(2024.3),5340,7896,44.5,7450000
空調・衛生工事の専業大手。メーカー機能持つハイテク環境制御装置に強み。環境技術開発も,設備工事96(6)、機器製造販売4(-16)(2024.3),958,1006,44.6,10110000
熱絶縁工事に強い建設工事会社。海外ＬＮＧ出荷基地工事に実績。構造物補強など環境関連も,建設工事89(14)、ボイラ11(6)【海外】11(2024.3),371,731,39.9,5970000
水処理、環境保全装置等の環境事業を展開。３月２７日上場廃止、４月１日に日立造船と合併,環境装置79(3)、産業装置18(-2)、建設3(-6)(2013.3),601,1246,44.1,6580000
空調工事大手。自動車塗装設備は国内首位、世界で２位。東南アジアや北米など海外展開で先行,環境システム74(8)、塗装システム26(4)【海外】47(2024.3),1733,5174,42.5,10680000
